memory_id,classification,state_treatment,code_evidence,reason
battery_soc,PHYSICAL_TRANSITION_STATE,KEEP soc,src/v2/models/battery_energy.py:next_soc,SOC directly changes the next physical state and q_soc trade-off.
causal_lpf_state,CONTROLLER_DYNAMIC_STATE,KEEP causal_base_load_fraction,src/v2/control/causal_base_load.py:CausalBaseLoadFilter._observed_base_kw,The next base reference depends on the committed LPF state.
previous_executed_fc_power,CONTROLLER_DYNAMIC_STATE,COVER with current FC plus delta FC,src/v2/control/nonlinear_mpc.py:NonlinearMPC.solve,P_fc(k) and delta P_fc(k) recover P_fc(k-1) exactly.
fc_on_off_state,DEGRADATION_DYNAMIC_STATE,COVER by current FC operating state,src/v2/models/fuel_cell_degradation.py:FuelCellVoltageLossTracker.is_on,Start/stop status is observable from the executed FC on/off condition.
cumulative_fc_voltage_loss,REWARD_CLIPPING_STATE,CONDITIONAL: omit only with reset and far-from-EOL invariant,src/v2/models/fuel_cell_degradation.py:fuel_cell_economic_life_increment,"Below EOL, marginal interval cost is independent of the cumulative level; clipping changes it near EOL."
cumulative_battery_weighted_ah,REWARD_CLIPPING_STATE,CONDITIONAL: omit only with reset and far-from-EOL invariant,src/v2/models/battery_degradation.py:battery_economic_life_increment,"Below EOL, marginal interval cost is independent of the cumulative level; clipping changes it near EOL."
cumulative_start_stop_counts,DIAGNOSTIC_ACCOUNTING,OMIT,src/v2/models/fuel_cell_degradation.py:FuelCellVoltageLossTracker,"Counts diagnose accumulated loss; the next increment depends on current on/off transition, not the count."
previous_dqn_action,POLICY_HISTORY,OMIT while no switching penalty or action-rate constraint exists,src/v2/envs/multirate_weight_env.py:MultiRateWeightEnvironment.step,The environment holds the selected action for M steps but defines no reward or transition term from the prior action.
mpc_warm_start,NUMERICAL_SOLVER_STATE,OMIT; enforce solver robustness separately,src/v2/control/nonlinear_mpc.py:shifted_warm_start,"Warm start is an optional initial guess, not a physical state; local-solution sensitivity remains a solver audit concern."
terminal_recharge_initial_soc,EPISODE_ACCOUNTING_STATE,OMIT only when initial SOC is frozen per episode,src/v2/economics.py:terminal_recharge_grid_energy,Terminal shore cost depends on initial minus final SOC; a variable initial SOC would need state or explicit episode context.
macro_step_position,MULTIRATE_EXECUTION_STATE,OMIT at DQN decision boundaries,src/v2/envs/multirate_weight_env.py:MultiRateWeightEnvironment.step,The DQN is queried only at macro boundaries; the M-step countdown is internal during action execution.
environment_done_failed_replay_history,SOFTWARE_BOOKKEEPING,OMIT,src/v2/envs/multirate_weight_env.py:MultiRateWeightEnvironment,Done/failure gates and replay history do not define a continuing physical state presented for another action.
