parent,chronological_index,original_chronological_split,feasible_natural_voyages,infeasible_natural_voyages,unknown_feasibility_natural_voyages,natural_duration_s,mean_load_kw,above600_deficit_energy_kwh,delta_abs_p95_kw_per_s,final_split,selection_reason
3月25日14_00_3月25日17_00,1,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
3月26日14_00_3月26日16_00,2,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
3月27日07_00_3月27日11_00,3,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
3月28日08_00_3月28日11_00,4,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
3月29日08_00_3月29日15_00,5,train,1,0,0,7140,325.230154588,0,1.85576009657,validation,validation: remaining independent parent with complete feasible natural operation
4月2日14_00_4月2日17_00,6,train,1,0,0,6660,314.088339172,0,4.07842235946,validation,validation: remaining independent parent with complete feasible natural operation
4月3日08_00_4月3日11_00,7,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月7日08_00_4月7日12_00,8,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月8日08_00_4月8日12_00,9,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月9日08_00_4月9日11_00,10,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月12日08_00_4月12日16_00,11,train,1,0,0,1200,131.679455047,0.0292066319314,8.22060729445,test,test raw-feature representative order 4; complete natural and independently feasible
4月15日08_00_4月15日17_00,12,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月16日08_00_4月16日19_00,13,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月17日07_00_4月17日17_00,14,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月18日12_00_4月18日18_00,15,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月21日08_00_4月21日16_00,16,train,1,0,0,7620,289.494775233,4.14284945042,2.52397957254,validation,validation: remaining independent parent with complete feasible natural operation
4月22日14_00_4月22日17_00,17,train,1,0,0,8820,253.75657924,1.9563465529,2.51339551997,test,test raw-feature representative order 3; complete natural and independently feasible
4月23日13_00_4月23日18_00,18,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月24日07_00_4月24日17_00,19,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月25日08_00_4月25日18_00,20,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月28日08_00_4月28日12_00,21,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
4月29日08_00_4月29日18_00,22,train,1,0,0,8220,462.347759565,32.2818451051,2.17393454888,validation,validation: remaining independent parent with complete feasible natural operation
4月30日08_00_4月30日15_00,23,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
